Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,,25,26
10:30,27,28,29,30,31,32,33,34,35
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,25,31,30,20,35,22,26,29
09:11,44,42,28,41,38,43,36,33
09:22,40,27,24,39,37,47,49,23
09:33,48,19,52,53,51,50,46,21
09:44,27,35,30,32,33,29,31,45
09:55,3,34,8,6,9,28,4,2
10:06,5,7,42,36,32,1,,
10:17,40,34,38,12,41,39,44,43
10:28,11,37,14,13,18,10,15,17
10:39,,,49,21,,,16,47
10:50,48,52,45,24,46,51,53,50
11:01,19,8,23,9,4,22,26,3
11:12,13,20,17,7,5,6,11,2
11:23,15,25,16,1,10,14,12,18

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,30,47,25,53,50,52,45,37
14:07,51,48,31,1,43,49,5,10
14:15,15,8,38,39,6,41,2,40
14:22,29,19,16,14,46,11,9,18
14:30,3,22,12,24,36,20,13,44
14:37,21,17,4,35,28,7,42,27
14:45,23,25,33,30,26,34,24,32
14:52,31,10,1,37,21,,6,27
15:00,43,14,8,50,29,45,19,40
15:07,48,47,9,2,53,36,5,39
15:15,12,44,52,20,3,41,11,49
15:22,35,18,51,33,28,22,15,7
15:30,34,13,23,46,32,42,38,16
15:37,27,21,25,24,26,19,17,4
15:45,32,34,10,36,29,30,14,37
15:52,43,3,40,44,31,39,6,1
16:00,22,8,35,9,50,33,28,5
16:07,12,2,20,16,45,23,13,11
16:15,42,7,48,41,47,53,18,26
16:22,4,46,38,49,15,51,17,52

