Judging
Time,Room A,Room B,Room C,Room D,Room E,Room F,Room G,Room H,Room I
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,27
10:30,28,29,30,31,32,33,34,35,
11:15,36,37,38,39,40,41,42,43,44
12:00,45,46,47,48,49,50,51,52,53

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,48,41,33,29,27,46,30,25
09:11,35,36,31,19,26,40,23,34
09:22,24,7,32,39,47,28,20,49
09:33,52,50,37,8,2,53,43,5
09:44,44,45,31,29,4,34,38,46
09:55,32,40,3,36,9,48,28,1
10:06,11,30,52,16,49,6,43,35
10:17,33,15,,,53,42,10,13
10:28,44,18,41,14,,,12,51
10:39,,,22,39,7,42,5,17
10:50,3,9,37,27,6,38,20,21
11:01,11,26,17,45,1,51,47,14
11:12,19,12,25,8,15,23,18,2
11:23,13,16,10,24,4,22,21,50

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,35,31,12,14,20,34,28,16
14:07,19,21,9,2,26,7,18,42
14:15,32,41,4,23,33,43,5,27
14:22,1,8,30,29,3,13,11,37
14:30,52,9,15,22,7,38,17,6
14:37,24,36,12,39,33,34,18,51
14:45,41,1,10,32,44,5,19,25
14:52,8,50,40,2,27,48,4,51
15:00,28,15,43,,49,42,20,13
15:07,16,36,10,38,26,22,6,52
15:15,45,50,3,35,4,53,47,29
15:22,44,41,37,46,14,13,21,48
15:30,31,30,17,16,1,40,19,2
15:37,11,34,47,49,7,23,43,52
15:45,25,48,31,14,18,53,39,46
15:52,33,45,15,8,24,9,42,27
16:00,51,30,20,38,49,5,37,36
16:07,28,12,50,35,6,26,32,44
16:15,40,53,11,46,24,22,47,3
16:22,39,45,17,10,29,23,21,25

